Model,RMSE,MAE,R2
Linear Regression,1.8785439185418737,1.2217615462332727,0.8468053957657422
Random Forest,0.937101494319445,0.6194081967213116,0.9618781450984135
XGBoost,1.1020990250564868,0.6339191259517044,0.947271914894949
